"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1–3 y","100","0.87","210","13","5","0.4","0.4","5","0.4"
"4–8 y","100","0.76","275","22","6","0.5","0.5","6","0.5"
"Males","","","","","","","","",""
"9–13 y","100","0.76","445","39","9","0.7","0.8","9","0.8"
"14–18 y","100","0.73","630","63","12","1.0","1.1","12","1.1"
"19–30 y","100","0.66","625","75","12","1.0","1.1","12","1.1"
"31–50 y","100","0.66","625","75","12","1.0","1.1","12","1.1"
"51–70 y","100","0.66","625","75","12","1.0","1.1","12","1.4"
"> 70 y","100","0.66","625","75","12","1.0","1.1","12","1.4"
"Females","","","","","","","","",""
"9–13 y","100","0.76","420","39","9","0.7","0.8","9","0.8"
"14–18 y","100","0.71","485","56","12","0.9","0.9","11","1.0"
"19–30 y","100","0.66","500","60","12","0.9","0.9","11","1.1"
"31–50 y","100","0.66","500","60","12","0.9","0.9","11","1.1"
"51–70 y","100","0.66","500","60","12","0.9","0.9","11","1.3"
"> 70 y","100","0.66","500","60","12","0.9","0.9","11","1.3"
"Pregnancy","","","","","","","","",""
"14–18 y","135","0.88","530","66","12","1.2","1.2","14","1.6"
"19–30 y","135","0.88","550","70","12","1.2","1.2","14","1.6"
"31–50 y","135","0.88","550","70","12","1.2","1.2","14","1.6"
"Lactation","","","","","","","","",""
"14–18 y","160","1.05","885","96","16","1.2","1.3","13","1.7"
"19–30 y","160","1.05","900","100","16","1.2","1.3","13","1.7"
"31–50 y","160","1.05","900","100","16","1.2","1.3","13","1.7"
