"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Life Stage","Vitamin A","Vitamin C","Vitamin D","Vitamin E","Vitamin K","Thiamin","Riboflavin","Niacin","Vitamin B6","Folate","Vitamin B12","Pantothenic","Biotin","Choline"
"Group","(μg/d)a","(mg/d)","(μg/d)b,c","(mg/d) d","(μg/d)","(mg/d)","(mg/d)","(mg/d)e","(mg/d)","(μg/d)f","(μg/d)","Acid (mg/d)","(μg/d)","(mg/d)g"
"Infants","","","","","","","","","","","","","",""
"0 to 6 mo","400*","40*","10","4*","2.0*","0.2*","0.3*","2*","0.1*","65*","0.4*","1.7*","5*","125*"
"6 to 12 mo","500*","50*","10","5*","2.5*","0.3*","0.4*","4*","0.3*","80*","0.5*","1.8*","6*","150*"
"Children","","","","","","","","","","","","","",""
"1–3 y","300","15","15","6","30*","0.5","0.5","6","0.5","150","0.9","2*","8*","200*"
"4–8 y","400","25","15","7","55*","0.6","0.6","8","0.6","200","1.2","3*","12*","250*"
"Males","","","","","","","","","","","","","",""
"9–13 y","600","45","15","11","60*","0.9","0.9","12","1.0","300","1.8","4*","20*","375*"
"14–18 y","900","75","15","15","75*","1.2","1.3","16","1.3","400","2.4","5*","25*","550*"
"19–30 y","900","90","15","15","120*","1.2","1.3","16","1.3","400","2.4","5*","30*","550*"
"31–50 y","900","90","15","15","120*","1.2","1.3","16","1.3","400","2.4","5*","30*","550*"
"51–70 y","900","90","15","15","120*","1.2","1.3","16","1.7","400","2.4h","5*","30*","550*"
"> 70 y","900","90","20","15","120*","1.2","1.3","16","1.7","400","2.4h","5*","30*","550*"
"Females","","","","","","","","","","","","","",""
"9–13 y","600","45","15","11","60*","0.9","0.9","12","1.0","300","1.8","4*","20*","375*"
"14–18 y","700","65","15","15","75*","1.0","1.0","14","1.2","400i","2.4","5*","25*","400*"
"19–30 y","700","75","15","15","90*","1.1","1.1","14","1.3","400i","2.4","5*","30*","425*"
"31–50 y","700","75","15","15","90*","1.1","1.1","14","1.3","400i","2.4","5*","30*","425*"
"51–70 y","700","75","15","15","90*","1.1","1.1","14","1.5","400","2.4h","5*","30*","425*"
"> 70 y","700","75","20","15","90*","1.1","1.1","14","1.5","400","2.4h","5*","30*","425*"
"Pregnancy","","","","","","","","","","","","","",""
"14–18 y","750","80","15","15","75*","1.4","1.4","18","1.9","600j","2.6","6*","30*","450*"
"19–30 y","770","85","15","15","90*","1.4","1.4","18","1.9","600j","2.6","6*","30*","450*"
"31–50 y","770","85","15","15","90*","1.4","1.4","18","1.9","600j","2.6","6*","30*","450*"
"Lactation","","","","","","","","","","","","","",""
"14–18 y","1,200","115","15","19","75*","1.4","1.6","17","2.0","500","2.8","7*","35*","550*"
"19–30 y","1,300","120","15","19","90*","1.4","1.6","17","2.0","500","2.8","7*","35*","550*"
"31–50 y","1,300","120","15","19","90*","1.4","1.6","17","2.0","500","2.8","7*","35*","550*"
