"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"","","","","","Magnes-","Molyb-","Phos-","Sele-",""
"Folate","Vit B12","Copper","Iodine","Iron","ium","denum","phorus","nium","Zinc"
"(mg/d)d","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)"
"","","","","6.9","","","","","2.5"
"120","0.7","260","65","3.0","65","13","380","17","2.5"
"160","1.0","340","65","4.1","110","17","405","23","4.0"
"250","1.5","540","73","5.9","200","26","1,055","35","7.0"
"330","2.0","685","95","7.7","340","33","1,055","45","8.5"
"320","2.0","700","95","6","330","34","580","45","9.4"
"320","2.0","700","95","6","350","34","580","45","9.4"
"320","2.0","700","95","6","350","34","580","45","9.4"
"320","2.0","700","95","6","350","34","580","45","9.4"
"250","1.5","540","73","5.7","200","26","1,055","35","7.0"
"330","2.0","685","95","7.9","300","33","1,055","45","7.3"
"320","2.0","700","95","8.1","255","34","580","45","6.8"
"320","2.0","700","95","8.1","265","34","580","45","6.8"
"320","2.0","700","95","5","265","34","580","45","6.8"
"320","2.0","700","95","5","265","34","580","45","6.8"
"520","2.2","785","160","23","335","40","1,055","49","10.5"
"520","2.2","800","160","22","290","40","580","49","9.5"
"520","2.2","800","160","22","300","40","580","49","9.5"
"450","2.4","985","209","7","300","35","1,055","59","10.9"
"450","2.4","1,000","209","6.5","255","36","580","59","10.4"
"450","2.4","1,000","209","6.5","265","36","580","59","10.4"
